GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
162632	0.14328	0.00261	0.3995	-3.0097344	-1.2023041	582.76	USP32P1	ubiquitin specific peptidase 32 pseudogene 1
101060376	0.14328	0.00266	0.2691	-3.0040172	-0.8083014	54.63	TBC1D3L	TBC1 domain family member 3L
7305	0.14328	0.00265	0.4011	3.0061076	1.2057198	162.96	TYROBP	transmembrane immune signaling adaptor TYROBP
100506033	0.14328	0.00265	0.1138	-3.0059066	-0.3422013	82.95	PTOV1-AS1	PTOV1 antisense RNA 1
2857	0.14328	0.00262	0.3869	3.0086612	1.1639769	355.54	GPR34	G protein-coupled receptor 34
101929285	0.1435	0.00267	0.2205	-3.0028093	-0.6620282	167.14	LOC101929285	uncharacterized LOC101929285
414777	0.1446	0.0027	0.1125	-2.9997599	-0.3375435	1691.93	HCG18	HLA complex group 18
401149	0.14477	0.00272	0.2627	-2.9975937	-0.7875953	171.16	LINC01061	long intergenic non-protein coding RNA 1061
7617	0.14477	0.00272	0.2101	-2.997438	-0.629677	180	ZNF66	zinc finger protein 66
105373058	0.14477	0.00272	0.3582	-2.9972529	-1.0736994	14.18	LOC105373058	uncharacterized LOC105373058
100129724	0.14582	0.00275	0.2507	-2.9940536	-0.7505228	18.34	MAPRE3-AS1	MAPRE3 antisense RNA 1
84246	0.14582	0.00276	0.083	2.9929003	0.2483563	336.74	MED10	mediator complex subunit 10
107985282	0.14582	0.00276	0.3357	-2.9929105	-1.0047847	33.04	LOC107985282	uncharacterized LOC107985282
105376591	0.14685	0.0028	0.2849	-2.989346	-0.8515467	53.12	LOC105376591	replaced by ID 105376592
57536	0.14685	0.00279	0.1082	-2.989555	-0.3234768	876.09	KIAA1328	KIAA1328
105371686	0.14703	0.00281	0.2272	-2.988258	-0.6789099	52.75	LOC105371686	
112268262	0.14785	0.0029	0.2711	-2.9779645	-0.8072121	35.67	LOC112268262	replaced by ID 11124
27321	0.14785	0.00289	0.3487	-2.9787682	-1.0386423	162.22	TNRC17	trinucleotide repeat containing 17
100129480	0.14785	0.00286	0.2183	-2.9824641	-0.6510559	65.51	MKRN2OS	MKRN2 opposite strand
972	0.14785	0.00292	0.3881	2.9761888	1.1551755	4762.9	CD74	CD74 molecule
5382	0.14785	0.00289	0.1492	-2.97921	-0.4445717	116.66	PMS2P4	PMS1 homolog 2, mismatch repair system component pseudogene 4
641776	0.14785	0.00283	0.2205	-2.9851458	-0.6581478	51.29	SPDYE14	speedy/RINGO cell cycle regulator family member E14
101930275	0.14785	0.00292	0.2835	-2.9755134	-0.8436312	344.32	MTUS1-DT	MTUS1 divergent transcript
399761	0.14785	0.00286	0.2079	-2.9826856	-0.6201106	308.81	BMS1P1	BMS1 pseudogene 1
58516	0.14785	0.00293	0.2516	2.9754595	0.7485627	61.76	SINHCAF	SIN3-HDAC complex associated factor
122618	0.14785	0.00288	0.4315	2.9805589	1.286249	364.31	PLD4	phospholipase D family member 4
100652740	0.14785	0.0029	0.3483	2.9777156	1.0372564	11.18	PYCARD-AS1	PYCARD antisense RNA 1
79651	0.14785	0.00288	0.2695	2.9799323	0.8029855	382.13	RHBDF2	rhomboid 5 homolog 2
100653515	0.14785	0.00286	0.3579	-2.9822208	-1.0672589	108.31	CEP295NL	CEP295 N-terminal like
94235	0.14785	0.00292	0.2993	-2.9763425	-0.8906914	183.91	GNG8	G protein subunit gamma 8
107985430	0.14785	0.0029	0.2944	-2.9780915	-0.8766366	637.54	LOC107985430	
